Brand,Battery Life (Days),Touchscreen,Bluetooth,Current Price
fire-boltt,3.5,Yes,Yes,3799.0
boat,8.0,Yes,Yes,1999.0
fire-boltt,3.5,Yes,Yes,1799.0
noise,8.0,Yes,Yes,1599.0
noise,8.0,Yes,Yes,1499.0
noise,14.077392344497609,Yes,Yes,1999.0
noise,8.0,Yes,Yes,1799.0
noise,8.0,Yes,Yes,1999.0
noise,8.0,Yes,Yes,1999.0
noise,8.0,Yes,Yes,1999.0
noise,8.0,Yes,Yes,1799.0
noise,8.0,Yes,Yes,3799.0
noise,8.0,Yes,Yes,3499.0
noise,14.077392344497609,Yes,Yes,1999.0
noise,3.6,Yes,Yes,1499.0
noise,8.0,Yes,Yes,1799.0
noise,8.0,Yes,Yes,1999.0
noise,14.077392344497609,Yes,Yes,1999.0
noise,14.077392344497609,Yes,Yes,2499.0
noise,8.0,Yes,Yes,1799.0
noise,14.077392344497609,Yes,Yes,2999.0
boat,8.0,Yes,Yes,2699.0
boat,8.0,Yes,Yes,2499.0
boat,8.0,Yes,Yes,1999.0
boat,8.0,Yes,Yes,1199.0
boat,8.0,Yes,Yes,1799.0
boat,8.0,Yes,Yes,1999.0
boat,8.0,Yes,Yes,2599.0
boat,8.0,Yes,Yes,1999.0
boat,8.0,Yes,Yes,1999.0
boat,8.0,Yes,Yes,1199.0
noise,14.077392344497609,Yes,Yes,1799.0
boat,8.0,Yes,Yes,1699.0
noise,8.0,Yes,Yes,1799.0
boat,8.0,Yes,Yes,1199.0
boat,14.077392344497609,Yes,Yes,1449.0
boat,8.0,Yes,Yes,1899.0
boat,14.077392344497609,Yes,Yes,2199.0
honor,12.5,Yes,Yes,11499.0
honor,3.5,Yes,Yes,2199.0
honor,12.5,Yes,Yes,11499.0
honor,0.75,Yes,Yes,14999.0
crossbeats,12.5,Yes,Yes,2999.0
honor,14.077392344497609,Yes,Yes,8999.0
crossbeats,8.0,Yes,Yes,5999.0
honor,0.75,Yes,Yes,8999.0
samsung,14.077392344497609,Yes,Yes,11999.0
samsung,3.6,Yes,Yes,18410.0
samsung,3.6,Yes,Yes,17999.0
samsung,14.077392344497609,Yes,Yes,18000.0
garmin,22.0,Yes,Yes,16990.0
garmin,14.077392344497609,Yes,Yes,27990.0
garmin,14.077392344497609,Yes,Yes,18990.0
garmin,8.0,Yes,Yes,34990.0
garmin,14.077392344497609,Yes,Yes,20990.0
garmin,14.077392344497609,Yes,Yes,18990.0
huawei,14.077392344497609,Yes,Yes,26581.0
huawei,14.077392344497609,Yes,Yes,16499.0
huawei,8.0,Yes,Yes,6400.0
noise,8.0,Yes,Yes,3799.0
dizo,8.0,Yes,Yes,2126.0
dizo,8.0,Yes,Yes,2126.0
dizo,14.077392344497609,Yes,Yes,2999.0
dizo,8.0,Yes,Yes,2126.0
dizo,8.0,Yes,Yes,4299.0
fire-boltt,8.0,Yes,Yes,1299.0
fire-boltt,8.0,Yes,Yes,1799.0
noise,8.0,Yes,Yes,1799.0
gizmore,14.077392344497609,Yes,Yes,1699.0
gizmore,12.5,Yes,Yes,1599.0
gizmore,14.077392344497609,Yes,Yes,1499.0
gizmore,14.077392344497609,Yes,Yes,1699.0
gizmore,8.0,Yes,Yes,3299.0
gizmore,14.077392344497609,Yes,Yes,1499.0
gizmore,12.5,Yes,Yes,3299.0
gizmore,14.077392344497609,Yes,Yes,1699.0
ambrane,12.5,Yes,Yes,2368.0
ambrane,8.0,Yes,Yes,2199.0
fire-boltt,3.5,Yes,Yes,1799.0
fire-boltt,8.0,Yes,Yes,1999.0
zebronics,3.5,Yes,Yes,1799.0
noise,8.0,Yes,Yes,1799.0
pebble,8.0,Yes,Yes,2999.0
pebble,12.5,Yes,Yes,4499.0
pebble,14.077392344497609,Yes,Yes,4299.0
crossbeats,3.6,Yes,Yes,3999.0
crossbeats,3.6,Yes,Yes,3999.0
fire-boltt,8.0,Yes,Yes,2499.0
hammer,14.077392344497609,Yes,Yes,1799.0
zebronics,8.0,Yes,Yes,2099.0
zebronics,8.0,Yes,Yes,1999.0
zebronics,8.0,Yes,Yes,2449.0
zebronics,14.077392344497609,Yes,Yes,1399.0
zebronics,3.5,Yes,Yes,1799.0
zebronics,0.75,Yes,Yes,3499.0
zebronics,8.0,Yes,Yes,3599.0
zebronics,3.5,Yes,Yes,1999.0
zebronics,22.0,Yes,Yes,2399.0
zebronics,8.0,Yes,Yes,3599.0
fire-boltt,8.0,Yes,Yes,1299.0
fire-boltt,8.0,Yes,Yes,2499.0
fire-boltt,8.0,Yes,Yes,1799.0
fire-boltt,3.5,Yes,Yes,2499.0
fire-boltt,3.5,Yes,Yes,2499.0
fire-boltt,8.0,Yes,Yes,1794.0
fire-boltt,3.5,Yes,Yes,3499.0
fire-boltt,3.5,Yes,Yes,2499.0
fire-boltt,8.0,Yes,Yes,2499.0
fire-boltt,8.0,Yes,Yes,1399.0
fire-boltt,8.0,Yes,Yes,1899.0
fire-boltt,8.0,Yes,Yes,1999.0
fire-boltt,3.5,Yes,Yes,1799.0
apple,22.0,Yes,Yes,29650.0
apple,22.0,Yes,Yes,37900.0
apple,22.0,Yes,Yes,23349.0
apple,22.0,Yes,Yes,33900.0
apple,22.0,Yes,Yes,29900.0
apple,22.0,Yes,Yes,29900.0
apple,22.0,Yes,Yes,29900.0
apple,22.0,Yes,Yes,32899.0
apple,22.0,Yes,Yes,22900.0
apple,22.0,Yes,Yes,32900.0
noise,22.0,Yes,Yes,1999.0
noise,22.0,Yes,Yes,1299.0
noise,22.0,Yes,Yes,1799.0
noise,8.0,Yes,Yes,1499.0
noise,22.0,Yes,Yes,1599.0
noise,8.0,Yes,Yes,1499.0
noise,22.0,Yes,Yes,3999.0
noise,22.0,Yes,Yes,2999.0
noise,22.0,Yes,Yes,2999.0
noise,22.0,Yes,Yes,2499.0
noise,22.0,Yes,Yes,1299.0
noise,22.0,Yes,Yes,2999.0
noise,22.0,Yes,Yes,3799.0
noise,22.0,Yes,Yes,1499.0
noise,22.0,Yes,Yes,1799.0
noise,3.5,Yes,Yes,1999.0
noise,22.0,Yes,Yes,1499.0
noise,22.0,Yes,Yes,1799.0
noise,22.0,Yes,Yes,1799.0
boat,22.0,Yes,Yes,1799.0
boat,22.0,Yes,Yes,1699.0
boat,22.0,Yes,Yes,2499.0
boat,22.0,Yes,Yes,3299.0
boat,22.0,Yes,Yes,1499.0
boat,22.0,Yes,Yes,2499.0
boat,22.0,Yes,Yes,1299.0
boat,22.0,Yes,Yes,1299.0
boat,22.0,Yes,Yes,1999.0
boat,22.0,Yes,Yes,2499.0
boat,22.0,Yes,Yes,3999.0
boat,22.0,Yes,Yes,2799.0
boat,22.0,Yes,Yes,1999.0
boat,22.0,Yes,Yes,2299.0
boat,22.0,Yes,Yes,2999.0
honor,8.0,Yes,Yes,8999.0
honor,8.0,Yes,Yes,12999.0
honor,8.0,Yes,Yes,13999.0
honor,17.5,Yes,Yes,17999.0
honor,22.0,Yes,Yes,4999.0
honor,22.0,Yes,Yes,9047.0
honor,22.0,Yes,Yes,7999.0
honor,22.0,Yes,Yes,10999.0
samsung,3.5,Yes,Yes,12990.0
samsung,3.5,Yes,Yes,27999.0
samsung,3.5,Yes,Yes,35999.0
samsung,3.5,Yes,Yes,22749.0
samsung,3.5,Yes,Yes,32999.0
samsung,3.5,Yes,Yes,34997.0
samsung,3.5,Yes,Yes,24999.0
samsung,3.5,Yes,Yes,31999.0
samsung,3.5,Yes,Yes,16999.0
samsung,3.5,Yes,Yes,39490.0
samsung,3.5,Yes,Yes,17490.0
samsung,3.5,Yes,Yes,31999.0
samsung,3.5,Yes,Yes,28999.0
samsung,3.5,Yes,Yes,11999.0
samsung,3.5,Yes,Yes,16999.0
samsung,3.5,Yes,Yes,16999.0
samsung,3.5,Yes,Yes,16999.0
samsung,3.5,Yes,Yes,27490.0
samsung,3.5,Yes,Yes,19990.0
samsung,3.5,Yes,Yes,24490.0
samsung,17.5,Yes,Yes,30990.0
samsung,3.5,Yes,Yes,29990.0
samsung,3.5,Yes,Yes,16990.0
fitbit,3.5,Yes,Yes,11699.0
fitbit,22.0,Yes,Yes,14999.0
fitbit,3.5,Yes,No,14999.0
fitbit,3.5,Yes,No,14999.0
fitbit,3.5,Yes,Yes,20499.0
fitbit,22.0,Yes,Yes,8999.0
fitbit,3.5,Yes,No,8999.0
fitbit,17.5,Yes,Yes,17699.0
fitbit,17.5,Yes,Yes,20499.0
fitbit,17.5,Yes,Yes,20999.0
fitbit,3.5,Yes,Yes,8999.0
fitbit,17.5,Yes,Yes,26499.0
fitbit,3.5,Yes,Yes,19999.0
fitbit,22.0,Yes,Yes,24990.0
fitbit,3.5,Yes,Yes,16999.0
fitbit,3.5,Yes,Yes,20590.0
fitbit,17.5,Yes,Yes,24999.0
fitbit,17.5,Yes,Yes,15499.0
fitbit,3.5,Yes,Yes,20499.0
fitbit,22.0,Yes,Yes,20499.0
amazfit,22.0,Yes,Yes,3999.0
amazfit,8.0,Yes,Yes,7499.0
amazfit,8.0,Yes,Yes,4499.0
amazfit,12.5,Yes,Yes,9999.0
amazfit,8.0,Yes,Yes,16999.0
amazfit,22.0,Yes,Yes,4999.0
amazfit,8.0,Yes,Yes,13999.0
amazfit,17.5,Yes,Yes,13999.0
amazfit,8.0,Yes,Yes,18999.0
amazfit,8.0,Yes,Yes,6999.0
amazfit,17.5,Yes,Yes,8999.0
amazfit,8.0,Yes,Yes,19999.0
amazfit,22.0,Yes,Yes,2999.0
amazfit,3.5,Yes,Yes,7200.0
garmin,17.5,Yes,Yes,16990.0
garmin,8.0,No,Yes,39490.0
garmin,17.5,Yes,Yes,33490.0
garmin,22.0,No,Yes,24990.0
garmin,22.0,No,Yes,34990.0
garmin,17.5,Yes,Yes,39490.0
garmin,22.0,No,Yes,20990.0
garmin,8.0,No,Yes,22990.0
garmin,17.5,No,Yes,33490.0
garmin,22.0,Yes,Yes,39490.0
garmin,17.5,Yes,Yes,27990.0
garmin,3.5,No,Yes,20490.0
garmin,17.5,No,No,33490.0
garmin,17.5,Yes,Yes,20990.0
garmin,17.5,No,Yes,39490.0
garmin,3.5,Yes,Yes,27990.0
huawei,8.0,Yes,Yes,18990.0
huawei,8.0,Yes,Yes,14990.0
huawei,8.0,Yes,Yes,15990.0
huawei,22.0,Yes,Yes,14990.0
huawei,17.5,Yes,Yes,29999.0
huawei,17.5,Yes,Yes,25999.0
huawei,17.5,Yes,Yes,6999.0
huawei,8.0,Yes,Yes,10990.0
huawei,8.0,Yes,Yes,10990.0
huawei,8.0,Yes,Yes,8990.0
huawei,8.0,Yes,Yes,11990.0
huawei,22.0,Yes,Yes,6990.0
fossil,17.5,Yes,Yes,23995.0
fossil,22.0,Yes,Yes,18495.0
fossil,17.5,Yes,Yes,15289.0
fossil,17.5,Yes,Yes,17995.0
fossil,22.0,Yes,Yes,19999.0
fossil,22.0,No,Yes,9995.0
fossil,17.5,Yes,Yes,14995.0
fossil,22.0,Yes,Yes,13195.0
fossil,3.5,Yes,Yes,9995.0
fossil,17.5,Yes,Yes,9198.0
fossil,17.5,No,Yes,13495.0
fossil,22.0,Yes,Yes,17995.0
fossil,22.0,Yes,Yes,18995.0
fossil,22.0,Yes,Yes,19995.0
fossil,22.0,Yes,Yes,19995.0
fossil,17.5,No,Yes,11995.0
fossil,3.5,No,Yes,14995.0
fossil,3.5,No,Yes,16495.0
fossil,8.0,No,Yes,16495.0
fossil,3.5,Yes,Yes,9995.0
fossil,22.0,No,Yes,13995.0
fossil,17.5,No,Yes,13495.0
fossil,17.5,No,Yes,13495.0
fossil,22.0,Yes,Yes,10998.0
dizo,8.0,Yes,Yes,1299.0
dizo,8.0,Yes,Yes,1799.0
dizo,22.0,Yes,Yes,3299.0
dizo,22.0,Yes,Yes,1999.0
dizo,12.5,Yes,Yes,1699.0
dizo,22.0,Yes,Yes,1199.0
dizo,22.0,Yes,Yes,4499.0
dizo,22.0,Yes,Yes,3499.0
dizo,22.0,Yes,Yes,1999.0
dizo,8.0,Yes,Yes,1999.0
dizo,8.0,Yes,Yes,2799.0
dizo,22.0,Yes,Yes,3299.0
dizo,22.0,Yes,Yes,3999.0
dizo,22.0,Yes,Yes,2699.0
dizo,22.0,Yes,Yes,5999.0
dizo,22.0,Yes,Yes,5999.0
dizo,22.0,Yes,Yes,3999.0
dizo,22.0,Yes,Yes,3999.0
dizo,22.0,Yes,Yes,2499.0
gizmore,22.0,Yes,Yes,1199.0
gizmore,3.5,Yes,Yes,1799.0
gizmore,3.5,Yes,Yes,1299.0
gizmore,3.5,Yes,Yes,2799.0
gizmore,8.0,Yes,Yes,1999.0
gizmore,3.5,Yes,Yes,3499.0
gizmore,22.0,Yes,Yes,1999.0
gizmore,3.5,Yes,Yes,2399.0
gizmore,3.5,Yes,Yes,2799.0
gizmore,3.5,Yes,Yes,2199.0
gizmore,3.5,Yes,Yes,1999.0
gizmore,22.0,Yes,Yes,1799.0
gizmore,22.0,Yes,Yes,1499.0
gizmore,22.0,Yes,Yes,6999.0
gizmore,3.5,Yes,Yes,2799.0
ambrane,22.0,Yes,Yes,1299.0
ambrane,22.0,Yes,Yes,1599.0
ambrane,22.0,Yes,Yes,1799.0
ambrane,22.0,Yes,Yes,1499.0
ambrane,22.0,Yes,Yes,2499.0
ambrane,22.0,Yes,Yes,1799.0
ambrane,22.0,Yes,Yes,2299.0
ambrane,22.0,Yes,Yes,1999.0
ambrane,22.0,Yes,Yes,1499.0
pebble,22.0,Yes,Yes,2799.0
pebble,22.0,Yes,Yes,4199.0
pebble,22.0,Yes,Yes,4199.0
pebble,3.5,Yes,Yes,1999.0
pebble,22.0,Yes,Yes,4199.0
pebble,3.5,Yes,Yes,1999.0
pebble,22.0,Yes,Yes,3499.0
pebble,8.0,Yes,Yes,4699.0
pebble,22.0,Yes,Yes,3999.0
pebble,22.0,Yes,Yes,3999.0
pebble,8.0,Yes,Yes,4990.0
pebble,17.5,Yes,Yes,1499.0
pebble,8.0,Yes,Yes,4990.0
pebble,22.0,Yes,Yes,3999.0
pebble,22.0,Yes,Yes,3999.0
pebble,22.0,Yes,Yes,3999.0
pebble,14.077392344497609,Yes,Yes,2499.0
pebble,8.0,Yes,Yes,2999.0
pebble,8.0,Yes,Yes,4499.0
pebble,22.0,Yes,Yes,3069.0
pebble,8.0,Yes,Yes,1499.0
pebble,8.0,Yes,Yes,3299.0
pebble,8.0,Yes,Yes,2499.0
pebble,3.5,Yes,Yes,4990.0
pebble,8.0,Yes,Yes,2999.0
pebble,22.0,Yes,Yes,3999.0
pebble,22.0,Yes,Yes,2999.0
pebble,8.0,Yes,Yes,4990.0
pebble,14.077392344497609,Yes,Yes,5190.0
zebronics,22.0,Yes,Yes,2199.0
zebronics,22.0,Yes,Yes,3499.0
zebronics,3.5,Yes,Yes,2999.0
zebronics,22.0,Yes,Yes,2399.0
zebronics,17.5,Yes,Yes,1999.0
zebronics,22.0,Yes,Yes,4499.0
zebronics,17.5,Yes,Yes,2199.0
zebronics,22.0,Yes,Yes,2999.0
zebronics,22.0,Yes,Yes,5499.0
zebronics,22.0,Yes,Yes,3499.0
zebronics,22.0,Yes,Yes,2799.0
zebronics,22.0,Yes,Yes,1799.0
zebronics,22.0,Yes,Yes,3499.0
zebronics,22.0,Yes,Yes,1399.0
zebronics,22.0,Yes,Yes,3499.0
zebronics,22.0,Yes,Yes,3099.0
zebronics,22.0,Yes,Yes,1897.0
zebronics,14.077392344497609,Yes,Yes,2949.0
zebronics,3.5,Yes,Yes,3449.0
zebronics,22.0,Yes,Yes,1499.0
zebronics,17.5,Yes,Yes,2999.0
fire-boltt,22.0,Yes,Yes,2499.0
fire-boltt,22.0,Yes,Yes,2399.0
fire-boltt,22.0,Yes,Yes,3927.0
fire-boltt,22.0,Yes,Yes,3927.0
fire-boltt,22.0,Yes,Yes,2299.0
fire-boltt,22.0,Yes,Yes,2299.0
fire-boltt,22.0,Yes,Yes,6499.0
fire-boltt,22.0,Yes,Yes,4599.0
fire-boltt,22.0,Yes,Yes,3299.0
fire-boltt,22.0,Yes,Yes,2699.0
fire-boltt,22.0,Yes,Yes,2799.0
fire-boltt,22.0,Yes,Yes,3449.0
fire-boltt,8.0,Yes,Yes,3499.0
fire-boltt,22.0,Yes,Yes,3999.0
fire-boltt,22.0,Yes,Yes,3999.0
fire-boltt,22.0,Yes,Yes,3599.0
fire-boltt,3.5,Yes,Yes,3799.0
fire-boltt,8.0,Yes,Yes,3499.0
fire-boltt,8.0,Yes,Yes,3499.0
fire-boltt,22.0,Yes,Yes,5599.0
fire-boltt,22.0,Yes,Yes,3999.0
fire-boltt,8.0,Yes,Yes,3699.0
fire-boltt,22.0,Yes,Yes,3899.0
fire-boltt,22.0,Yes,Yes,2298.0
fire-boltt,3.5,Yes,Yes,3299.0
fire-boltt,22.0,Yes,Yes,1999.0
fire-boltt,22.0,Yes,Yes,3599.0
fire-boltt,22.0,Yes,Yes,3599.0
fire-boltt,22.0,Yes,Yes,5998.0
fire-boltt,22.0,Yes,Yes,5599.0
fire-boltt,22.0,Yes,Yes,2899.0
fire-boltt,22.0,Yes,Yes,3999.0
fire-boltt,22.0,Yes,Yes,4599.0
fire-boltt,8.0,Yes,Yes,6999.0
fire-boltt,22.0,Yes,Yes,5999.0
fire-boltt,8.0,Yes,Yes,3700.0
fire-boltt,22.0,Yes,Yes,5999.0
fire-boltt,22.0,Yes,Yes,3200.0
fire-boltt,22.0,Yes,Yes,3000.0
